# tako 解説動画（#1081）のタイムライン = 台本の機械可読形。build-explainer.sh が読む。
# 列（タブ区切り）: id  kind  source  anchor  offset  min_dur  caption  subtitle  speech
#   kind    = card（全面タイトルカード。caption=見出し / subtitle=副題 / source=右上ラベル）
#             clip（収録素材。source=シーン名 → scenes/<source>-raw.mp4、anchor=ビート名 or 秒）
#   offset  = anchor からのずらし秒（負も可）
#   min_dur = この区間の最短秒数。実際の長さは max(min_dur, ナレーション秒 + 0.8)
#   speech  = ナレーション（say -v Kyoko 用。外来語はカナ表記。空なら無音区間）
# 各主張の裏取りは .agent/plans/2026-09-youtube-explainer.md「訴求と裏取り」の表を参照。
#
# ── オープニング ────────────────────────────────────────────────────
op_card	card		0	0	7	tako	AI エージェント時代の GUI ターミナル	エーアイエージェントに開発を任せる時代。ターミナルは、どう変わるべきでしょうか。
op_hook	clip	master	report	0	10	tako — AI エージェント時代の GUI ターミナル	1 グループ = 1 タブで、エージェントの群れを集約監視する	この動画では、エーアイエージェント時代のためのジーユーアイターミナル、タコを、何ができて、どう使い、何がいいのかまで、実際の画面で解説します。
# ── 1. 課題 ──────────────────────────────────────────────────────
c1_card	card	1 / 8	0	0	4	1. 課題	AI エージェント時代のターミナル	まずは、課題からです。
c1_scatter	clip	scatter	tabs	0	12	1 つの作業が 4 つに分裂する	エージェント本体 / 子エージェント / dev サーバー / ログ	クロードコードのようなエーアイエージェントを使うと、ひとつの作業が、エージェント本体、子エージェント、デブサーバー、ログへと分裂します。
c1_cycle	clip	scatter	cycle	0	12	タブやウインドウに散らばる	どこで何が動いているのか、誰が止まっているのか	既存のターミナルでは、これらがタブやウインドウに散らばります。どこで何が動いているのか、誰が止まっているのか。追いかけるだけで手間がかかります。
c1_manual	clip	scatter	cycle	9	10	AI に操作させるにも、繋ぎ込みが要る	tmux・スクリプト・MCP 設定を自前で用意	しかも、エーアイにターミナルを操作させたければ、ティーマックスやスクリプト、エムシーピーの設定を、自分で繋ぎ込む必要がありました。
c1_collect	clip	scatter	collect	0	10	tako の答え: 1 グループ = 1 タブ	散らばっていたものを、1 つのタブに集約する	タコの答えはシンプルです。ひとつの作業グループを、ひとつのタブに集約する。そのために作られたターミナルです。
# ── 2. 思想 ──────────────────────────────────────────────────────
c2_card	card	2 / 8	0	0	4	2. tako の思想	集約監視 / ゼロコンフィグ / AI フルコントロール	タコの設計思想は 3 つです。
c2_agent1	clip	agent	req1	0	24	1. 1 グループ = 1 タブ	AI が起こした子プロセスは、同じタブのペインに生える	ひとつ目、1 グループ 1 タブ。タコの中でクロードコードに日本語で頼むと、エーアイは内蔵のエムシーピーサーバーを通してペインを分割し、デブサーバーを起動し、リードミーをプレビューで開きます。生えたペインは全部、同じタブの中です。
c2_agent2	clip	agent	req2	0	20	2. ゼロコンフィグ	内蔵 MCP サーバー。初回の登録以外に設定は要らない	ふたつ目、ゼロコンフィグ。エムシーピーサーバーはタコに内蔵されていて、初回に登録するだけで、以後どのプロジェクトでも設定は要りません。公開しているツールは 140 個以上あります。
c2_control	clip	control	split	0	12	3. AI フルコントロール	UI でできることは、すべて CLI / MCP からもできる	みっつ目、エーアイフルコントロール。人が画面でできることは、すべてシーエルアイとエムシーピーからもできる。これを不変条件として作られています。
c2_control2	clip	control	theme_light	0	16	テーマも表示モードもパネルも、コマンドで	tako theme / tako ui-mode / tako panel	テーマの切り替え、表示モード、サイドパネルの開閉まで、コマンドひとつで動きます。だからエーアイは、人と同じ画面を、同じ手段で組み立てられるのです。
# ── 3. 導入 ──────────────────────────────────────────────────────
c3_card	card	3 / 8	0	0	4	3. 導入	tako setup 一発	導入の流れを見ていきます。
c3_brew	clip	setup	brew	0	10	brew install --cask takushio2525/tako/tako	Homebrew なら 1 行。tako CLI も PATH へ入る	インストールはホームブリューなら 1 行です。アプリ本体と一緒に、タココマンドもパスに入ります。ジップを展開して置くだけの方法もあります。
c3_bootstrap	clip	setup	bootstrap	0	14	Claude Code が無くても、tako setup から始められる	インストール → PATH → ログインの 3 段を案内・代行	エーアイ連携の設定は、タコ セットアップ 一発です。クロードコードがまだ入っていない環境でも、公式のインストール、パスの設定、ログインの案内までを、タコが順に進めます。何をどこに入れるかは、実行前に必ず表示します。
c3_setup	clip	setup	setup	0	22	質問ゼロで検出し、対話アシスタントが立ち上がる	認証済み CLI が 1 つなら、人間への質問はない	導入済みなら、検出は質問ゼロで終わります。クロード、コーデックス、ジェミニ系のシーエルアイを見つけ、プランに合わせたプロファイルを作り、エムシーピーの登録まで済ませます。そのあと、対話アシスタントが自動で立ち上がります。
c3_ask	clip	setup	ask	0	20	あとは日本語で相談するだけ	反映するのは同意した項目だけ	設定の相談は日本語でできます。アシスタントは現状の設定を読んでから答え、反映するのは同意した項目だけです。設定ファイルを自分で開く必要はありません。
# ── 4. 基本操作 ──────────────────────────────────────────────────
c4_card	card	4 / 8	0	0	4	4. 基本操作	タブ / ペイン / ファイルツリー / プレビュー	ここからは、普通のターミナルとしての使い勝手です。
c4_split	clip	basics	split_right	0	12	Cmd+D で右、Cmd+Shift+D で下に分割	iTerm2 と同じキー。境界のドラッグ、ペインの並べ替えも	ペイン分割は、コマンド ディー で右、コマンド シフト ディー で下。アイタームと同じ操作感で、境界線のドラッグやペインの並べ替えもできます。
c4_tab	clip	basics	tab	0	8	タブ = 作業グループ	Cmd+T で新規、Cmd+1〜9 で切替	タブは作業グループの単位です。プロジェクトごとにタブを分け、その中を分割して使います。
c4_tree	clip	basics	tree	0	10	Cmd+B でファイルツリー	タブ内の作業ディレクトリを自動でワークスペース表示	コマンド ビー でファイルツリー。タブの中で開いている作業ディレクトリが、自動でワークスペースとして並びます。
c4_md	clip	basics	md	0	9	Markdown はレンダリング表示	ファイルをクリックすると隣のペインに開く	ファイルをクリックすると、隣のペインにプレビューが開きます。マークダウンは既定でレンダリング表示です。
c4_reload	clip	basics	reload	0	8	ライブリロード	編集すると、即反映	ファイルが書き換わると、プレビューは即座に追従します。
c4_pdf	clip	basics	pdf	0	9	PDF もペイン内で	テキスト選択 / 目次ジャンプ / ズーム	ピーディーエフもペインの中でそのまま。テキストの選択や目次からのジャンプ、ズームもできます。
c4_image	clip	basics	image	0	6	画像プレビュー	PNG / JPEG / SVG / GIF / WebP	画像も同じです。
c4_code	clip	basics	code	0	9	210 以上の形式にシンタックスハイライト	軽い編集と保存もできる	コードは 210 以上の形式にハイライトが効き、その場で軽く編集して保存することもできます。
c4_run	clip	basics	run	0	12	Code Runner	再生ボタンでスクリプトを新ペインで実行	スクリプトは再生ボタンひとつで、新しいペインに分割して実行されます。成果物の確認まで、ターミナルの外に出ずに済みます。
# ── 5. AI に任せる ────────────────────────────────────────────────
c5_card	card	5 / 8	0	0	5	5. AI に任せる	tako master と worker	ここが本題です。エーアイに作業を任せる、オーケストレーション。
c5_master	clip	master	request	-14	14	tako master で司令塔を起動	今いるペインが master になる	タコ マスター と打つと、今いるペインが司令塔、マスターになります。あなたがやることは、マスターに日本語で話しかけることだけです。
c5_spawn	clip	master	request	0	24	依頼を分解し、worker を隣のペインに立てる	1 worker = 1 成果物。指示は型で、送達確認つき	依頼を受けたマスターは、作業を成果物ごとに分解し、担当のエーアイ、ワーカーを隣のペインに立ち上げます。ワーカーへの指示は、背景、スコープ、受け入れ条件、検証手順まで埋めた型で渡され、送達確認つきで届きます。
c5_grid	clip	master	workers_up	0	18	同じタブに並ぶ。進捗は画面でそのまま見える	master の取り分を保ったまま、worker 領域をグリッド配置	ワーカーは同じタブの中にグリッドで並びます。今なにを考え、どのコマンドを打っているか、リアルタイムで見えます。気になるペインをクリックすれば、直接口を出すこともできます。
c5_orch	clip	master	orch	0	14	右パネルの orch ビューで俯瞰	親子関係 / 稼働時間 / コンテキスト使用率	右パネルのオーケストレーションビューでは、マスターとワーカーの親子関係や稼働状況を俯瞰できます。
c5_gui	clip	master	gui	0	18	かんたん表示（GUI モード）	Claude と対話中のペインはチャット画面に。変わるのは見せ方だけ	黒い画面が苦手なら、かんたん表示に切り替えられます。クロードと対話中のペインはチャット画面になり、空のペインはボタンになります。変わるのは見せ方だけで、裏のターミナルは動いたままです。
c5_report	clip	master	report	0	20	完了・入力待ち・消滅を自動検知し、検収してから報告	監視・回収・片付けも master の仕事	マスターはワーカーの完了や入力待ちを自動で検知し、完了報告を鵜呑みにせず、証拠を検査してから結果を届けます。ワーカーの起動、監視、片付け。段取りは全部マスターが持ちます。
c5_solo	clip	master	report	12	8	1 対 1 でよければ tako solo	worker を立てず、その AI 自身が手を動かす	分担が要らなければ、タコ ソロ で 1 対 1 の対話もできます。
# ── 6. 再起動しても戻る ──────────────────────────────────────────
